index,text,start_char,end_char,char_count,word_count,metadata
53,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
54,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
55,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
56,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
57,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
58,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
59,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
60,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
61,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
62,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
63,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
64,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
65,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
66,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
67,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
68,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
69,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
70,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
71,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
72,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
73,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
74,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
75,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
76,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
77,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
78,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
79,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
80,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
81,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
82,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
83,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
84,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
85,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
86,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
87,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
88,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
89,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
90,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
91,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
92,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
93,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
94,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
95,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
96,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
97,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
98,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
99,for this project of course if you're doing a larger project you would want to select a larger page.,5990,6090,99,19,"{'chunk_size': 1000, 'overlap': 100, 'mode': 'advanced'}"
